,hour,longitude,latitude,value
0,0,118.7692,32.0872,9.25
1,0,118.7776,31.9826,11.5
2,0,118.6361,32.0586,21.0
3,0,118.9124,32.0545,36.5
4,0,118.8175,31.9426,15.5
5,0,118.7399,31.9668,30.0
6,0,118.787,32.0427,13.17
7,0,118.8164,32.0672,11.0
8,0,118.7712,32.1058,18.0
9,0,118.7926,31.9843,18.0
10,0,118.7916,32.0783,20.0
11,0,118.9137,32.1208,82.0
12,0,118.7806,32.0126,41.0
13,0,118.7946,32.0023,17.0
14,0,118.8746,32.1116,27.0
15,0,118.7639,32.0486,53.0
16,0,118.8321,32.015,26.0
17,0,118.7397,32.0126,21.0
18,0,118.824,32.0421,43.0
19,0,118.7477,32.065,32.5
20,0,118.8218,31.9543,29.0
21,0,118.8367,32.0253,6.0
22,0,118.8155,32.0153,20.5
23,0,118.8491,32.0397,26.0
24,0,118.8035,32.111,9.0
25,0,118.7841,32.0892,8.0
26,0,118.7925,32.031,11.0
27,0,118.8789,32.1596,36.0
28,0,118.8739,31.7783,34.0
29,0,118.8304,32.0784,29.0
30,0,119.0238,32.1286,43.0
31,0,118.7708,32.1182,17.33
32,0,118.8041,32.0353,9.33
33,0,118.7129,32.1822,27.0
34,0,118.6742,31.9122,7.0
35,0,118.7981,32.0441,8.67
36,0,118.6307,32.0756,71.0
37,0,118.9274,32.1081,18.0
38,0,118.7835,32.0562,30.11
39,0,118.7318,32.0034,8.0
40,0,118.9352,32.1003,57.33
41,0,118.8858,31.9582,28.0
42,0,118.7575,31.9827,39.5
43,0,118.8491,32.3465,8.0
44,0,118.7715,32.0368,13.4
45,0,118.7116,32.157,39.0
46,0,118.7445,32.0356,7.5
47,0,118.7441,31.9958,9.5
48,0,118.8158,31.9321,24.0
49,0,118.6389,32.0679,12.25
50,0,118.7425,32.0516,77.5
51,0,118.8216,32.1326,29.5
52,0,118.9444,32.0752,36.0
53,0,118.8998,32.0941,7.46
54,0,118.7743,31.9921,16.0
55,0,118.9679,32.1153,31.5
56,0,118.8739,32.3132,32.0
57,0,118.7319,32.0441,32.0
58,0,118.8003,32.019,8.0
59,0,118.7728,32.0276,7.0
60,0,118.7629,32.2342,5.0
61,0,118.8561,31.9571,12.0
62,0,118.7604,31.9488,10.0
63,0,118.8007,31.9397,11.75
64,0,118.8666,32.1199,9.0
65,0,118.7461,32.1467,14.0
66,0,118.7246,32.0137,29.67
67,0,118.8278,31.9377,14.0
68,0,118.9089,31.9212,14.0
69,0,118.8049,32.0047,35.0
70,0,118.7904,32.0687,28.17
71,0,118.8873,32.1016,9.5
72,0,118.7983,32.0593,58.0
73,0,118.793,31.949,8.0
74,0,118.7224,31.9818,8.0
75,0,118.7399,32.0853,33.0
76,0,118.7782,32.098,10.0
77,0,118.807,31.9757,14.67
78,0,118.8675,32.0993,8.0
79,0,118.8071,32.0892,7.5
80,0,118.8755,31.9444,33.0
81,0,118.9063,32.1325,15.0
82,0,118.7783,32.0724,15.8
83,0,118.774,32.0516,10.5
84,0,118.7887,31.9595,9.0
85,0,118.7525,32.0567,7.0
86,0,118.8572,31.9386,10.5
87,0,118.8483,31.9468,33.0
88,1,118.894,32.135,29.5
89,1,118.7304,32.0094,18.75
90,1,118.8474,32.0446,31.0
91,1,118.7393,32.0828,25.0
92,1,118.7704,32.0152,8.5
93,1,118.729,32.14,42.0
94,1,118.827,32.1313,17.0
95,1,118.8421,31.9203,24.0
96,1,118.7244,32.1677,47.5
97,1,118.9146,32.1042,4.0
98,1,118.7708,32.0021,10.0
99,1,118.7655,32.0442,30.0
100,1,118.7898,32.0779,20.25
101,1,118.742,31.9878,46.0
102,1,118.9148,32.1201,17.0
103,1,118.8101,32.0067,39.0
104,1,118.7584,32.061,10.0
105,1,118.7514,31.9653,14.0
106,1,118.8838,31.7384,79.0
107,1,118.8177,32.1132,12.0
108,1,118.8818,31.9405,46.0
109,1,118.7284,32.041,38.0
110,1,118.8426,32.1068,10.0
111,1,118.8418,31.9563,13.0
112,1,118.7266,31.9966,20.5
113,1,118.7405,32.0186,8.0
114,1,118.7787,32.0603,40.5
115,1,118.8207,32.0754,10.0
116,1,118.816,32.067,14.25
117,1,118.9659,32.1147,40.0
118,1,118.8768,32.1592,9.0
119,1,118.792,32.0461,9.71
120,1,118.7567,32.0241,10.0
121,1,118.8595,32.3522,17.0
