,hour,longitude,latitude,value
0,0,118.7865,32.0529,312
1,0,118.7944,32.0397,283
2,0,118.8139,32.0387,277
3,0,118.8145,32.0772,269
4,0,118.8158,32.0361,267
5,0,118.8136,32.0447,258
6,0,118.7915,32.0319,250
7,0,118.8066,32.025,249
8,0,118.8045,32.0139,249
9,0,118.7841,32.038,239
10,0,118.7638,32.0214,234
11,0,118.8058,32.0528,234
12,0,118.791,32.0519,233
13,0,118.8004,32.0552,231
14,0,118.7926,32.0699,230
15,0,118.7956,32.0656,229
16,0,118.7921,32.0397,225
17,0,117.213,34.2735,223
18,0,118.8097,32.0288,223
19,0,118.7856,32.0825,220
20,0,118.7796,32.0378,217
21,0,118.8075,32.0522,215
22,0,118.8174,31.9837,215
23,0,118.8122,32.0555,212
24,0,118.7783,32.029,212
25,0,118.7743,32.0144,209
26,0,118.7617,32.0525,206
27,0,118.7903,32.0239,204
28,0,118.7884,32.093,204
29,0,118.7963,32.0393,200
30,0,118.7986,32.0189,197
31,0,118.7839,32.0156,196
32,0,118.8003,31.996,195
33,0,118.7811,32.0315,193
34,0,118.8019,32.0104,193
35,0,118.7781,32.0216,190
36,0,118.7659,32.0259,189
37,0,118.8157,31.9954,186
38,0,118.7782,32.0417,182
39,0,118.8163,31.9839,181
40,0,118.7605,32.0967,181
41,0,118.7785,32.0853,178
42,0,118.8163,32.0871,178
43,0,118.7791,32.0818,177
44,0,118.7876,32.08,172
45,0,118.7924,32.0631,170
46,0,118.7694,32.0771,169
47,0,118.7834,32.0759,169
48,0,118.7893,32.1045,167
49,0,118.7834,32.0546,167
50,0,118.8218,31.9788,165
51,0,118.7684,32.0509,163
52,0,118.7723,32.0685,162
53,0,118.7692,32.1066,162
54,0,118.7622,32.0845,156
55,0,118.7647,32.0101,154
56,0,118.8027,31.9928,150
57,0,118.7444,31.9844,149
58,0,118.8283,32.0997,149
59,0,118.8435,32.0965,147
60,0,118.7563,32.0973,146
61,0,118.7582,32.1021,146
62,0,118.8013,32.095,146
63,0,118.8189,31.9744,145
64,0,121.5969,31.2058,144
65,0,118.734,32.1317,144
66,0,118.826,32.0891,142
67,0,118.7584,32.02,142
68,0,118.809,32.1027,141
69,0,118.7622,32.1072,141
70,0,118.8365,32.0482,141
71,0,118.7584,32.1178,140
72,0,118.8042,32.0284,140
73,0,118.7673,32.0864,139
74,0,118.7539,32.0915,138
75,0,118.8194,31.9497,138
76,0,118.8129,32.0639,138
77,0,118.7323,32.1243,137
78,0,118.7912,32.0089,136
79,0,118.8108,32.1139,136
80,0,118.7464,32.1176,135
81,0,118.7561,31.9971,135
82,0,118.7432,32.0342,134
83,0,118.5099,31.7053,133
84,0,118.7529,32.0012,133
85,0,121.4835,30.9162,132
86,0,118.8062,32.0396,132
87,0,118.7514,32.0303,129
88,0,118.7652,32.0608,129
89,0,118.7712,32.0005,128
90,0,118.8612,32.0944,126
91,0,118.7839,32.0919,125
92,0,118.7733,32.1024,125
93,0,118.8005,32.0246,125
94,0,118.8239,31.9724,124
95,0,118.7818,32.0571,123
96,0,118.8285,32.0494,123
97,0,118.7666,32.0749,122
98,0,118.8176,32.1119,122
99,0,118.8199,32.022,120
100,0,118.8275,32.0898,120
101,0,118.8175,32.054,119
102,0,121.3625,31.237,119
103,0,118.7411,32.0285,118
104,0,118.9055,32.0567,117
105,0,118.8218,31.9602,117
106,0,118.8577,32.0469,117
107,0,118.8445,32.1092,116
108,0,118.7443,31.9867,116
109,0,118.8787,32.0949,116
110,0,118.8186,31.9515,116
111,0,118.7619,32.0793,114
112,0,118.5161,31.7169,113
113,0,118.8263,31.9353,113
114,0,118.7728,32.0006,111
115,0,118.9038,32.0908,111
116,0,118.7581,32.0818,110
117,0,118.8873,32.0539,109
118,0,118.8328,32.025,108
119,0,118.9038,32.066,107
120,0,118.7938,32.1075,106
121,0,118.8526,32.0958,106
122,0,118.8932,32.0993,105
123,0,118.8209,32.117,105
124,0,118.748,32.0455,104
125,0,118.8522,31.9556,104
126,0,118.8174,31.9505,103
127,0,118.8065,32.1011,102
128,0,118.8494,32.042,102
129,0,118.8078,32.09,102
130,0,118.8611,31.9371,101
131,0,118.8212,31.935,101
132,0,118.7836,32.1011,101
133,0,118.759,32.0026,100
134,0,116.3874,39.8697,100
135,0,118.7311,32.0079,99
136,0,118.8704,32.0411,98
137,0,118.8598,31.9464,98
138,0,118.745,32.0244,98
139,0,118.7713,32.0923,96
140,0,118.9041,32.0615,96
141,0,118.8016,32.0873,95
142,0,118.7657,32.0462,95
143,0,118.7509,32.05,95
144,0,118.8221,32.07,94
145,0,118.8927,32.1052,94
146,0,118.7417,32.0173,94
147,0,118.8225,32.1139,94
148,0,118.8635,31.9575,93
149,0,118.9048,32.0663,93
150,0,118.8823,32.047,93
151,0,118.8829,32.0467,92
152,0,118.8198,32.0648,92
153,0,118.7701,31.9999,91
154,0,118.8187,32.0816,91
155,0,118.7385,32.0093,91
156,0,118.8058,32.0622,91
157,0,118.7504,32.0636,90
158,0,118.914,32.0572,90
159,0,118.865,31.9542,90
160,0,118.8287,31.9345,90
161,0,118.8997,32.0902,89
162,0,118.7662,32.0349,89
163,0,118.8257,32.0358,89
164,0,119.1843,34.6102,89
165,0,118.7366,32.0051,89
166,0,118.7416,32.0623,88
167,0,118.7776,32.0707,87
168,0,118.8634,31.9599,86
169,0,118.7562,32.0251,85
170,0,118.8898,32.0468,85
171,0,118.8426,32.0994,85
172,0,118.7791,32.0996,84
173,0,118.7994,31.9731,84
174,0,118.8734,32.1198,84
175,0,118.8371,32.1013,83
176,0,118.7669,31.986,82
177,0,118.739,32.1331,81
178,0,118.7974,32.0618,81
179,0,118.8494,32.1091,80
180,0,118.7884,32.0007,80
181,0,102.727,25.0347,80
182,0,118.864,32.0339,80
183,0,118.7713,32.0329,80
184,0,118.7607,32.0373,80
185,0,118.8976,32.0779,80
186,0,118.7292,31.9924,80
187,0,118.7805,31.9852,79
188,0,118.8471,32.1249,79
189,0,118.8341,32.0282,78
190,0,118.8142,32.0936,78
191,0,118.7573,32.0511,77
192,0,118.5158,31.694,77
193,0,118.7505,32.1305,76
194,0,118.7417,32.0531,76
195,0,118.7543,31.9804,76
196,0,118.7873,31.9725,75
197,0,118.8195,32.0657,75
198,0,118.841,31.9708,75
199,0,118.8386,31.9572,75
200,0,118.7361,32.0184,75
201,0,118.7869,31.9629,74
202,0,118.7264,31.9732,74
203,0,118.7587,32.044,74
204,0,118.6342,32.0751,74
205,0,118.8318,31.9484,74
206,0,118.8513,31.9592,73
