,hour,longitude,latitude,value
0,0,118.8541,31.9587,9
1,0,118.7826,32.0309,18
2,0,118.7992,31.9379,5
3,0,118.8078,32.0538,6
4,0,118.8635,32.1409,4
5,0,118.8772,32.1278,6
6,0,118.7782,32.0423,37
7,0,118.7886,32.0669,22
8,0,118.8901,32.0972,26
9,0,118.8655,32.0228,5
10,0,118.7792,32.0726,10
11,0,118.8114,31.9504,6
12,0,118.847,31.9489,10
13,0,118.7624,32.0706,21
14,0,118.7638,32.0265,10
15,0,118.7957,32.0192,16
16,0,118.8391,31.919,6
17,0,118.7795,32.0831,14
18,0,118.7633,32.1069,6
19,0,118.6259,32.0511,6
20,0,118.7906,32.0869,8
21,0,118.7376,32.0127,8
22,0,118.8984,32.0911,4
23,0,118.7458,32.0497,5
24,0,118.6424,32.0557,18
25,0,118.8469,32.0253,6
26,0,118.7714,32.0156,8
27,0,118.7588,32.0396,6
28,0,118.9183,32.0995,5
29,0,118.8247,31.975,9
30,0,118.6475,32.0764,17
31,0,118.732,32.003,13
32,0,118.8144,32.0063,4
33,0,118.6309,32.0752,8
34,0,118.7982,32.0453,39
35,0,118.7428,32.0215,5
36,0,118.7784,32.0608,9
37,0,118.7604,32.0518,17
38,0,118.8892,32.1268,8
39,0,118.7833,32.0967,4
40,0,118.8258,32.1293,12
41,0,118.843,32.3429,14
42,0,118.7434,31.9959,29
43,0,118.827,31.9399,10
44,0,118.8366,31.9442,6
45,0,118.9054,31.9199,5
46,0,118.9179,31.912,4
47,0,118.9238,32.1107,5
48,0,118.8974,32.0554,6
49,0,118.787,31.955,5
50,0,118.8156,32.0172,8
51,0,118.8085,32.0396,4
52,0,118.8157,32.1127,9
53,0,118.7996,32.0728,9
54,0,118.7703,32.0891,14
55,0,118.6367,32.0661,6
56,0,118.8402,32.0918,8
57,0,118.8325,32.0487,12
58,0,118.7629,32.0977,5
59,0,118.7667,31.9754,5
60,0,118.7351,32.048,4
61,0,118.8802,32.0171,6
62,0,118.7926,32.0565,88
63,0,118.7864,32.1184,9
64,0,118.8661,32.0394,5
65,0,118.8408,31.9565,18
66,0,118.8513,31.9277,6
67,1,118.7653,32.0347,13
68,1,118.8575,32.3456,5
69,1,118.8819,32.131,5
70,1,118.8615,31.9494,4
71,1,118.7984,32.0385,14
72,1,118.7936,32.0753,27
