,hour,longitude,latitude,value
0,0,118.5695,31.9763,0.0
1,0,116.3854,39.8759,8.0
2,0,118.8091,32.3111,0.0
3,0,118.8696,31.9449,6.0
4,0,118.7811,32.0066,8.0
5,0,118.9909,31.8672,0.0
6,0,118.9125,32.0564,8.0
7,0,118.8391,31.9493,0.0
8,0,118.8994,31.7363,0.0
9,0,118.7839,32.2939,0.0
10,0,118.8763,32.1703,0.0
11,0,118.3234,32.316,7.0
12,0,118.7295,32.1478,0.0
13,0,118.8322,32.0429,8.0
14,0,119.0411,31.6443,0.0
15,0,118.8161,32.0671,0.0
16,0,118.5376,31.9425,0.0
17,0,118.5924,31.9798,0.0
18,0,119.0097,32.1333,0.0
19,0,118.7799,32.0716,5.0
20,0,118.8938,31.7469,0.0
21,0,118.3837,31.3693,8.0
22,0,118.8123,32.0167,0.0
23,0,118.7101,32.1814,0.0
24,0,118.8453,32.0312,0.0
25,0,118.7184,32.1986,0.0
26,0,118.9799,31.8738,0.0
27,0,118.8842,32.0937,8.0
28,0,106.4907,29.5356,8.0
29,0,119.027,31.6819,0.0
30,0,118.7999,31.9136,0.0
31,0,119.0677,31.6804,0.0
32,0,118.7269,31.9704,8.0
33,0,118.8477,31.8879,0.0
34,0,118.9555,31.7371,0.0
35,0,118.8059,31.943,7.0
36,0,118.8597,31.9886,0.0
37,0,118.844,31.9368,6.0
38,0,118.9998,32.1322,0.0
39,0,119.0224,31.9359,0.0
40,0,118.56,31.8026,0.0
41,0,118.8024,32.0445,5.0
42,0,118.7795,32.2355,0.0
43,0,118.5799,31.9627,0.0
44,0,119.0303,31.9737,0.0
45,0,106.494,29.5376,8.0
46,0,118.7883,32.0424,6.0
47,0,118.9583,31.8914,0.0
48,0,118.7383,32.0057,8.0
49,0,118.8212,32.0201,7.0
50,0,118.8864,31.9612,0.0
51,0,118.7611,32.1352,0.0
52,0,118.8279,32.1218,0.0
53,0,118.7936,32.1867,0.0
54,0,118.7039,31.9565,0.0
55,0,118.8539,31.9557,8.0
56,0,116.3836,39.8714,8.0
57,0,118.9156,31.8901,0.0
58,0,118.8184,32.3204,0.0
59,0,118.864,31.7867,8.0
60,0,119.0264,31.9313,0.0
61,0,119.0589,31.658,0.0
