,hour,longitude,latitude,value
0,0,118.7886,32.0453,62.78
1,0,118.7436,32.0255,53.25
2,0,118.7948,32.0293,70.7
3,0,119.0082,32.1471,32.5
4,0,118.823,32.0763,15.67
5,0,118.7541,32.0233,50.0
6,0,118.8011,32.047,50.98
7,0,118.899,32.1341,7.0
8,0,118.7056,32.1184,28.0
9,0,118.7993,31.9382,14.0
10,0,118.8284,31.9057,50.5
11,0,118.7913,31.9987,13.0
12,0,118.7683,32.049,57.0
13,0,118.7853,31.9749,13.5
14,0,118.8868,32.1232,21.0
15,0,118.6276,32.0607,32.0
16,0,118.8405,31.9651,34.33
17,0,118.802,31.9977,42.0
18,0,118.7577,31.9493,37.0
19,0,118.7139,32.0102,19.0
20,0,118.7385,32.0148,25.3
21,0,118.5922,32.1205,161.0
22,0,118.816,32.067,83.33
23,0,118.8632,31.9497,88.0
24,0,118.8494,31.9564,33.67
25,0,118.6009,32.1024,67.5
26,0,118.8752,31.9679,35.5
27,0,118.7449,32.2086,93.5
28,0,118.8929,32.0973,8.18
29,0,118.7954,32.0638,90.83
30,0,118.7691,31.9623,17.0
31,0,118.6507,32.0652,22.5
32,0,118.9066,31.9187,30.29
33,0,118.8665,32.0412,16.0
34,0,118.7579,31.9797,51.0
35,0,118.781,32.0971,26.14
36,0,118.6287,32.0495,137.0
37,0,118.7395,32.0056,60.12
38,0,118.902,32.0577,59.5
39,0,118.7514,32.0521,27.0
40,0,118.9373,32.1055,33.33
41,0,118.8639,31.8005,18.0
42,0,118.7555,31.9977,29.5
43,0,118.7373,32.0492,22.0
44,0,118.7557,32.033,73.0
45,0,118.7635,32.0101,20.0
46,0,118.7002,31.9445,12.0
47,0,118.8162,32.0339,47.33
48,0,118.7739,31.9923,18.5
49,0,118.7603,32.2434,28.0
50,0,118.9066,32.0921,7.67
51,0,118.7812,32.0731,52.2
52,0,118.9344,32.1174,27.0
53,0,118.8267,32.0515,30.75
54,0,118.842,32.0408,47.0
55,0,118.7799,32.0338,46.0
56,0,118.8306,32.1051,15.0
57,0,118.8409,32.1112,12.0
58,0,118.817,32.0159,41.5
59,0,118.8522,31.9375,75.0
60,0,118.8468,32.3444,7.0
61,0,118.6442,32.0553,75.5
62,0,118.7987,32.0125,12.0
63,0,118.8399,31.9062,31.0
64,0,118.8599,31.9224,80.0
65,0,118.7554,32.1377,119.0
66,0,118.7834,32.0564,53.55
67,0,118.9238,32.0989,17.6
68,0,118.7844,32.0836,17.0
69,0,118.8633,32.0132,17.0
70,0,118.8792,31.7846,14.5
71,0,118.7212,32.1525,8.0
72,0,119.0408,31.6615,18.5
73,0,118.7048,31.9749,41.0
74,0,118.8035,32.0205,83.0
75,0,118.8531,32.0384,42.67
76,0,118.7741,32.0863,41.0
77,0,118.7443,32.147,7.0
78,0,118.8325,31.8739,35.0
79,0,118.7527,32.008,36.0
