,hour,longitude,latitude,value
0,0,118.8955,31.3315,0.0
1,0,118.6495,32.0771,7.0
2,0,118.9814,31.8135,0.0
3,0,118.8369,32.0806,0.0
4,0,118.8514,31.8485,0.0
5,0,118.8361,31.9353,0.0
6,0,118.8744,32.1639,0.0
7,0,118.8698,31.8968,0.0
8,0,118.7304,32.0037,4.0
9,0,118.9499,32.1467,0.0
10,0,118.8171,32.1264,8.0
11,0,119.0036,32.1466,8.0
12,0,117.1782,34.1739,0.0
13,0,118.9051,32.0683,0.0
14,0,118.9329,32.1119,0.0
15,0,118.7642,32.0822,1.0
16,0,118.8808,32.0051,0.0
17,0,119.0801,32.1537,0.0
18,0,118.968,31.7733,0.0
19,0,118.7731,32.0723,8.0
20,0,118.8498,31.853,0.0
21,0,119.0036,32.053,0.0
22,0,118.7344,32.14,7.0
23,0,118.8574,31.8715,0.0
24,0,118.8325,32.268,0.0
25,0,118.8764,31.7417,4.0
26,0,118.7965,32.0611,7.0
27,0,118.7622,32.0406,7.0
28,0,118.8679,31.8873,0.0
29,0,118.819,32.1499,0.0
30,0,118.8267,31.9435,0.0
31,0,118.7813,32.0546,4.0
32,0,118.9623,32.2166,0.0
33,0,119.0357,31.6819,0.0
34,0,118.6525,32.122,0.0
35,0,118.7996,31.9701,7.0
36,0,118.9283,31.956,0.0
37,0,118.7555,32.0334,7.0
38,0,118.8688,31.9436,7.0
39,0,118.9323,32.1468,0.0
40,0,118.8905,31.9222,0.0
41,0,118.7896,32.0522,9.0
42,0,118.8583,32.0423,8.0
43,0,118.8763,32.0938,0.0
44,0,118.4856,32.0635,0.0
45,0,118.8594,31.9397,8.0
46,0,118.6959,32.1296,0.0
47,0,118.8732,32.1134,7.0
48,0,118.7795,32.1004,7.0
49,0,118.5277,32.1743,0.0
50,0,118.616,32.2074,0.0
51,0,118.8399,32.166,0.0
52,0,118.9713,32.4539,0.0
53,0,119.0261,31.6796,0.0
54,0,118.7009,32.1077,-1.0
55,0,118.7974,32.0954,1.0
56,0,118.7159,32.1126,8.0
57,0,119.0684,32.027,0.0
58,0,118.8794,32.1178,7.0
59,0,118.7962,32.0608,8.0
60,0,118.787,32.2447,0.0
61,0,121.6266,31.2693,7.0
62,0,118.9549,31.9468,0.0
63,0,118.9625,32.1558,0.0
64,0,118.8984,32.0207,0.0
65,0,118.815,32.0241,8.0
66,0,118.8084,31.983,1.0
67,0,118.7661,32.1156,0.0
68,0,118.7599,32.1389,0.0
69,0,118.7954,31.9786,7.0
70,0,119.9802,35.8843,7.0
71,0,118.8666,32.1078,0.0
72,0,118.8767,32.3902,0.0
73,0,118.9159,32.1019,7.0
74,0,118.9243,32.0668,0.0
75,0,118.7474,32.2413,0.0
76,0,118.8132,32.1045,1.0
77,0,118.8106,32.4527,0.0
78,0,118.8061,31.9314,7.0
79,0,118.8683,31.8749,0.0
80,0,118.887,31.9829,0.0
81,0,119.0458,31.6513,0.0
82,0,119.0107,32.1484,8.0
83,0,118.7977,32.0481,8.0
84,0,118.838,31.9673,0.0
85,0,118.7779,32.108,7.0
86,0,118.7301,32.1419,0.0
87,0,118.759,32.0225,3.0
88,0,118.8843,32.1666,10.0
89,0,118.9639,31.747,0.0
90,0,121.407,31.0017,0.0
91,0,118.8592,32.1308,0.0
92,0,118.9975,32.1136,0.0
93,0,118.7002,32.179,0.0
94,0,119.1876,34.6063,8.0
95,0,118.762,32.0053,8.0
96,0,118.8165,32.0065,7.0
97,0,118.9365,31.9005,0.0
98,0,118.7623,32.0619,0.0
99,0,118.7673,32.0115,1.0
100,0,118.8025,32.0273,1.0
101,0,118.8668,32.0993,1.0
102,0,118.9661,32.1979,0.0
103,0,118.9417,32.0575,0.0
104,0,118.722,32.1088,-1.0
105,0,119.4311,32.1577,0.0
106,0,118.7798,32.0489,8.0
107,0,118.8221,32.1541,0.0
108,0,118.6303,32.1851,0.0
109,0,118.8278,32.0522,0.0
110,0,120.5583,31.3043,-1.0
111,0,118.8577,31.7856,0.0
112,0,118.8164,32.0811,8.0
113,0,120.2175,31.6047,0.0
114,0,118.7802,32.0398,6.0
115,0,118.9915,32.3139,0.0
116,0,118.8647,31.95,7.0
117,0,118.954,32.1625,0.0
118,0,118.8331,32.0987,8.0
119,0,118.8513,31.9395,0.0
120,0,118.8333,32.094,0.0
121,0,118.8566,32.0245,7.0
122,0,118.921,32.0991,-1.0
123,0,118.8837,32.4017,0.0
124,0,119.1608,36.6838,0.0
125,0,118.9987,32.1594,0.0
126,0,118.9384,32.2564,0.0
127,0,121.485,30.922,8.0
128,0,118.9069,31.9552,7.0
129,0,118.5319,31.7299,7.0
130,0,118.9321,31.7586,0.0
131,0,118.8897,31.7905,0.0
132,0,119.0075,33.0263,0.0
133,0,118.8351,31.9192,7.0
134,0,118.6655,32.1692,0.0
135,0,118.8043,31.9919,5.0
136,0,118.8969,31.7536,0.0
137,0,118.8317,31.9562,0.0
138,0,119.1055,31.9453,0.0
139,0,118.8055,31.963,7.0
140,0,119.042,32.0583,0.0
141,0,118.9037,31.8961,0.0
142,0,118.7837,34.1322,0.0
143,0,118.8615,32.3404,0.0
144,0,118.5144,31.7142,8.0
145,0,120.1458,33.3889,0.0
146,0,118.7458,32.3854,0.0
147,0,118.8026,32.1151,8.0
148,0,118.8352,31.902,0.0
149,0,119.0211,32.6792,0.0
150,0,118.9706,32.0464,0.0
151,0,120.2073,31.6803,0.0
152,0,118.7665,32.0302,0.0
153,0,120.2636,32.0017,0.0
154,0,118.8666,32.2794,0.0
155,0,119.4794,32.209,0.0
156,0,119.8941,32.3307,0.0
157,0,118.8534,31.7918,0.0
158,0,117.8246,30.9507,7.0
159,0,116.382,39.8754,8.0
160,0,114.1442,22.6788,-1.0
161,0,118.7086,32.1192,0.0
162,0,118.8612,31.9305,7.0
163,0,118.8454,32.0376,7.0
164,0,118.8039,31.9769,7.0
165,0,118.7827,32.2424,0.0
166,0,118.8281,31.9556,8.0
167,0,118.8298,32.0604,0.0
168,0,119.0489,31.6447,8.0
169,0,118.7393,32.1435,7.0
170,0,118.6863,32.1449,0.0
171,0,118.7862,31.916,7.0
172,0,118.8715,32.0265,0.0
173,0,118.7626,32.2208,0.0
174,0,118.8366,31.8206,0.0
175,0,118.8167,32.0192,0.0
176,0,118.7711,32.2322,0.0
177,0,118.8511,32.0472,8.0
178,0,118.3247,32.3152,7.0
179,0,118.7856,32.0986,8.0
180,0,118.7017,32.17,0.0
181,0,118.8997,32.0286,0.0
182,0,118.5392,32.1656,0.0
183,0,118.8124,31.9331,7.0
184,0,118.8465,32.1274,0.0
185,0,118.8225,32.1281,0.0
186,0,118.8813,32.0384,0.0
187,0,118.5605,32.0434,0.0
188,0,118.7772,32.117,7.0
189,0,118.5446,32.0371,0.0
190,0,118.8819,32.2899,0.0
191,0,118.9106,32.2327,0.0
192,0,118.9418,32.0547,0.0
193,0,118.5129,31.7122,8.0
194,0,118.7812,32.0601,8.0
195,0,118.885,32.0078,0.0
196,0,118.9111,31.9103,8.0
197,0,120.944,31.2954,0.0
