,hour,longitude,latitude,value
0,0,118.8156,32.0172,26.0
1,0,118.6309,32.0752,15.0
2,0,118.7638,32.0265,55.0
3,0,118.7703,32.0891,52.0
4,0,118.7376,32.0127,24.0
5,0,118.7351,32.048,26.0
6,0,118.7906,32.0869,85.0
7,0,118.7833,32.0967,12.0
8,0,118.8655,32.0228,10.0
9,0,118.8144,32.0063,26.0
10,0,118.8984,32.0911,10.0
11,0,118.7996,32.0728,23.0
12,0,118.7926,32.0565,407.0
13,0,118.7428,32.0215,77.0
14,0,118.8901,32.0972,13.0
15,0,118.7792,32.0726,20.0
16,0,118.7957,32.0192,43.0
17,0,118.8541,31.9587,25.0
18,0,118.847,31.9489,11.0
19,0,118.732,32.003,15.0
20,0,118.6424,32.0557,34.0
21,0,118.7982,32.0453,85.0
22,0,118.8661,32.0394,10.0
23,0,118.6259,32.0511,11.0
24,0,118.8802,32.0171,20.0
25,0,118.7434,31.9959,101.0
26,0,118.7864,32.1184,10.0
27,0,118.7604,32.0518,52.0
28,0,118.8114,31.9504,20.0
29,0,118.8469,32.0253,35.0
30,0,118.6475,32.0764,43.0
31,0,118.8085,32.0396,10.0
32,0,118.7629,32.0977,23.0
33,0,118.8892,32.1268,37.0
34,0,118.7826,32.0309,38.0
35,0,118.8247,31.975,16.0
36,0,118.7886,32.0669,19.0
37,0,118.8635,32.1409,37.0
38,0,118.7782,32.0423,138.0
39,0,118.9238,32.1107,10.0
40,0,118.9179,31.912,95.0
41,0,118.8325,32.0487,47.0
42,0,118.8078,32.0538,11.0
43,0,118.8391,31.919,24.0
44,0,118.8258,32.1293,34.0
45,0,118.8157,32.1127,13.0
46,1,118.7653,32.0347,67.0
47,1,118.8411,31.8881,24.0
48,1,118.7893,32.0318,95.0
49,1,118.7726,32.0154,64.0
50,1,118.8085,32.0107,10.0
51,1,118.765,32.0985,10.0
52,1,118.7492,32.0643,77.0
53,1,118.8819,32.131,10.0
54,1,118.8283,32.0511,10.0
55,1,118.7451,32.0365,79.0
56,1,118.9213,32.1016,122.0
57,1,118.73,32.132,45.0
58,1,118.7932,32.0193,25.0
59,1,118.7741,32.0486,38.0
60,1,118.7576,32.0827,11.0
61,1,118.802,32.0527,13.0
62,1,118.7909,32.115,18.0
63,1,118.7773,32.0272,20.0
64,1,118.843,32.3429,6.0
65,1,118.7936,32.0753,16.0
66,1,118.9037,32.0991,10.0
67,1,118.8692,32.0267,59.0
68,1,118.8902,32.0981,37.0
69,1,118.7882,32.0565,61.0
70,1,118.7918,31.9534,40.0
71,1,118.7984,32.0385,60.0
72,2,118.7772,32.0985,10.0
73,2,118.8345,31.9018,35.0
74,2,118.779,32.0735,17.0
75,2,118.7483,31.9955,10.0
76,2,118.915,32.0977,45.0
77,2,118.7987,32.0569,246.0
78,2,118.822,32.0821,11.0
79,2,118.7862,32.0566,37.0
80,2,118.7314,32.0059,129.0
81,2,118.8364,32.0831,24.0
82,2,118.7346,32.0179,12.0
83,2,118.799,31.9379,145.0
84,2,118.8191,32.0292,26.0
85,2,118.8257,32.0465,19.0
86,2,118.7906,32.0944,32.0
