,hour,longitude,latitude,value
0,0,118.6404,32.0615,9.0
1,0,118.8038,32.042,10.0
2,0,118.6418,32.0709,20.0
3,0,118.8956,32.1336,12.0
4,0,118.8697,32.0255,40.0
5,0,118.828,32.134,10.0
6,0,118.8365,32.085,33.0
7,0,118.7915,32.0622,10.0
8,0,118.8078,32.0538,38.0
9,0,118.8902,32.098,39.0
10,0,118.7854,31.949,15.0
11,0,118.7446,32.0275,61.0
12,0,118.7949,31.9754,14.0
13,0,118.629,32.0512,62.0
14,0,118.779,32.0735,62.0
15,0,118.7749,32.1079,19.0
16,0,118.744,31.996,10.0
17,0,118.7956,32.0238,60.0
18,0,118.7332,32.0062,28.0
19,0,118.7893,32.0318,20.0
20,0,118.7873,32.0424,82.0
21,0,118.8167,31.9317,53.0
22,0,118.7525,32.0444,38.0
23,0,118.7378,32.0576,40.0
24,0,118.7993,31.9383,65.0
25,0,118.7633,31.9808,121.0
26,0,118.9015,32.0576,10.0
27,0,118.7933,32.0517,214.0
28,0,118.7419,32.0382,14.0
29,0,118.8562,31.9573,30.0
30,0,118.7638,31.9679,17.0
31,0,118.7805,31.9872,46.0
32,0,118.9288,32.108,11.0
33,0,118.7102,32.1187,53.0
34,0,118.6289,32.0733,9.0
35,0,118.774,32.0843,22.0
36,0,118.8841,32.0028,26.0
37,0,118.8036,31.993,33.0
38,0,119.0508,31.6574,15.0
39,0,118.8989,32.0903,486.0
40,0,118.8493,32.346,18.0
41,0,118.8409,32.1107,10.0
42,0,118.8209,31.9507,6.0
43,0,118.7254,31.9858,18.0
44,1,118.7428,32.0602,21.0
45,1,118.7305,31.9872,17.0
46,1,118.8538,32.0347,34.0
47,1,118.7621,32.0657,39.0
48,1,118.8437,31.9447,10.0
49,1,118.9223,32.1008,76.0
50,1,118.8859,31.9458,134.0
51,1,118.7652,32.029,67.0
52,1,118.7215,31.9802,22.0
53,1,118.8164,31.9128,52.0
54,1,118.8837,32.0811,18.0
55,1,118.8693,32.0265,58.0
56,1,118.7698,31.9828,39.0
57,1,118.8109,32.1058,18.0
58,1,118.8348,32.0244,30.0
59,1,118.8459,32.126,10.0
60,1,118.7505,32.0379,29.0
61,1,118.7888,31.9772,33.0
62,1,118.7862,32.0232,47.0
63,1,118.6196,32.0613,6.0
64,1,118.8023,32.0523,43.0
65,1,118.7901,32.0445,26.0
66,1,118.909,32.0918,18.0
67,1,118.8542,31.9567,6.0
68,2,118.7999,32.0415,22.0
69,2,118.802,32.0207,34.0
70,2,118.788,32.0507,51.0
71,2,118.765,32.0929,15.0
72,2,118.8931,32.0902,37.0
73,2,118.7891,32.0315,22.0
74,2,118.7724,31.9846,26.0
75,2,118.8255,31.9677,55.0
76,2,118.7463,32.0627,42.0
77,2,118.8035,32.0918,40.0
78,2,118.7724,32.0614,11.0
79,2,118.8528,31.9353,24.0
80,2,118.9018,32.137,14.0
81,2,118.7768,32.0259,10.0
82,2,118.8222,32.1121,48.0
83,3,118.7762,32.0765,17.0
84,3,118.8319,32.0514,19.0
85,3,118.8992,32.0928,69.0
86,3,118.7832,32.1052,24.0
87,3,118.8122,32.0386,10.0
88,3,118.6316,32.0632,24.0
89,3,118.7372,32.134,16.0
90,3,118.8684,32.0105,57.0
91,3,118.8573,31.9534,54.0
92,3,118.7814,32.044,10.0
93,3,118.7446,32.1524,25.0
94,3,118.6376,32.0724,14.0
95,4,118.7669,32.0376,36.0
96,4,118.7723,32.061,10.0
97,4,118.7849,32.1073,14.0
98,4,118.7697,32.0476,14.0
99,4,118.794,31.975,32.0
100,4,118.8316,32.0514,10.0
101,4,118.8942,32.0903,24.0
102,4,118.7659,32.0979,10.0
103,4,118.8511,31.9369,54.0
104,4,118.9211,32.1027,35.0
105,5,118.8653,32.0411,18.0
106,5,118.7776,32.0304,40.0
107,5,118.8065,32.0525,45.0
108,5,118.8746,32.1246,35.0
109,5,118.7402,32.0774,44.0
110,5,118.8403,32.1246,28.0
111,5,118.931,32.13,22.0
112,5,118.7618,31.9929,139.0
113,5,118.7901,32.0846,72.0
114,5,118.7631,31.9745,20.0
115,5,118.6204,32.0814,10.0
116,5,118.8644,32.1383,10.0
117,5,118.8503,32.1099,826.0
118,5,118.8065,32.0172,29.0
119,5,118.8006,32.0312,12.0
120,5,118.7601,32.0397,143.0
121,5,118.8143,31.9638,14.0
122,5,118.7229,32.0131,40.0
123,5,118.7482,32.1304,32.0
124,5,118.8332,31.9494,40.0
125,5,118.8256,32.0463,35.0
126,5,118.8002,32.0931,46.0
127,5,118.7217,32.0037,66.0
128,5,118.6373,32.0504,10.0
129,5,118.8336,32.0933,11.0
130,5,118.8757,32.0363,30.0
131,5,118.8391,32.1075,17.0
132,5,118.7879,32.0347,22.0
133,5,118.8265,31.9659,40.0
134,5,118.8844,31.9434,37.0
135,6,118.7684,32.0261,127.0
136,6,118.7683,31.9976,40.0
137,6,118.8511,32.1302,27.0
138,6,118.8163,32.015,28.0
139,6,118.7653,31.9762,48.0
140,6,118.9018,32.0872,30.0
141,6,118.7899,31.9539,45.0
142,6,118.8112,32.0871,19.0
143,6,118.631,32.0555,6.0
144,6,118.7024,32.0328,40.0
145,6,118.831,32.1286,41.0
146,6,118.8754,32.046,29.0
147,6,118.8877,32.1527,27.0
148,6,118.7848,32.0306,206.0
149,6,118.8721,31.975,11.0
150,6,118.7721,32.1171,20.0
151,6,118.7402,32.0873,32.0
152,6,118.898,32.099,142.0
153,6,118.7438,32.0087,25.0
154,6,118.7332,31.9702,31.0
155,6,118.7935,32.0236,27.0
156,6,118.8297,31.9513,83.0
157,6,118.9197,32.0976,139.0
158,6,118.9321,32.1303,31.0
159,6,118.7602,32.0881,58.0
160,6,118.7608,32.0658,25.0
161,6,118.8581,31.964,12.0
162,6,118.8629,32.0141,23.0
163,6,118.8626,32.364,6.0
164,6,118.8193,32.1179,34.0
165,6,118.9023,31.9236,48.0
166,6,118.8061,32.0251,10.0
167,6,118.8592,32.0378,64.0
168,6,118.7564,32.018,20.0
169,6,118.8473,32.1086,20.0
170,6,118.8077,32.0538,63.0
171,6,118.7404,32.0479,36.0
172,6,118.7518,32.0344,54.0
173,6,118.9216,32.111,10.0
174,6,118.8151,31.9637,9.0
175,6,118.7199,32.0054,63.0
176,6,118.7943,31.9176,39.0
177,6,118.6063,32.0796,17.0
178,6,118.8703,32.0246,135.0
179,6,118.8948,32.1773,10.0
180,6,118.8381,32.1155,61.0
181,6,118.7293,32.1412,31.0
182,6,118.7828,32.0786,132.0
183,6,118.8312,31.9368,23.0
184,6,118.8494,31.9183,30.0
185,6,118.7821,31.9992,13.0
186,6,118.7963,32.0414,32.0
187,6,118.8215,32.0303,25.0
188,6,118.7366,32.0185,56.0
189,6,118.8805,32.0166,30.0
190,6,118.7589,32.0488,26.0
191,6,118.7464,32.0734,171.0
192,6,118.7534,32.0571,69.0
193,6,119.0365,31.6553,8.0
194,6,118.6262,32.0782,17.0
195,6,118.8477,31.9317,70.0
196,6,118.8721,31.9549,75.0
197,6,118.7884,31.9433,10.0
198,6,118.8905,31.9552,14.0
199,6,118.8253,32.0908,10.0
200,6,118.831,32.036,11.0
201,6,118.7348,32.0019,64.0
202,6,118.9556,32.0609,60.0
203,6,118.7938,31.9957,19.0
204,6,118.7802,32.0586,55.0
205,6,118.8098,31.9488,30.0
206,6,118.7834,32.0924,11.0
207,6,118.8346,31.9716,12.0
208,6,118.6292,32.0655,12.0
209,6,118.9037,32.0609,31.0
210,7,118.8317,32.0355,40.0
211,7,118.7363,32.1641,32.0
212,7,118.7924,32.0305,29.0
213,7,118.7645,31.9581,31.0
214,7,118.8356,32.108,115.0
215,7,118.6409,32.0812,15.0
216,7,118.7777,32.1106,47.0
217,7,118.8537,32.1377,33.0
218,7,118.8077,31.9958,16.0
219,7,118.8515,31.9573,21.0
220,7,118.7776,32.0457,45.0
221,7,118.8133,32.0277,22.0
222,7,118.7701,32.0614,66.0
223,7,118.7648,32.0768,50.0
224,7,118.7947,31.9976,58.0
225,7,118.8643,32.1201,48.0
226,7,118.7963,32.1099,30.0
227,7,118.8389,31.971,82.0
228,7,118.9103,32.1027,10.0
229,7,118.7424,31.9983,41.0
230,7,118.8407,32.1241,46.0
231,7,118.7978,32.0625,25.0
232,7,118.948,32.1386,12.0
233,7,118.6335,32.0579,12.0
234,7,118.8745,31.9694,74.0
235,7,118.7525,32.0239,130.0
236,7,118.8527,32.113,37.0
237,7,118.7633,32.0254,19.0
238,7,118.8169,32.0147,15.0
239,7,118.8195,31.9723,79.0
240,7,118.7832,31.9888,23.0
241,7,118.7394,32.048,280.0
242,7,118.8374,32.0892,145.0
243,7,118.7729,32.0307,118.0
244,7,118.7813,32.0074,34.0
245,7,118.7697,32.003,97.0
246,7,118.7307,32.1431,11.0
247,7,118.9918,32.1383,10.0
248,7,118.8758,32.0119,50.0
249,7,118.787,32.0686,123.0
250,7,118.7736,32.0897,10.0
251,7,118.6515,32.079,6.0
252,7,118.9208,32.0918,20.0
253,7,118.7176,31.9748,26.0
254,7,118.8769,31.9577,41.0
255,7,118.79,31.9429,31.0
256,7,118.9016,32.0931,242.0
257,7,118.8944,32.1334,251.0
258,7,118.8558,32.0428,35.0
259,7,118.9026,32.0631,40.0
260,7,118.8319,31.9069,45.0
261,7,118.7565,32.036,140.0
262,7,118.9832,32.1219,290.0
263,7,118.7317,32.203,150.0
264,7,118.7914,31.9518,169.0
265,7,118.8343,31.9573,50.0
266,7,118.8564,32.0083,76.0
267,7,118.8848,32.1373,37.0
268,7,118.9083,32.0452,38.0
269,7,118.7942,31.9882,10.0
270,7,118.7534,32.0547,10.0
271,7,118.7427,32.0188,82.0
272,7,118.823,32.0455,53.0
273,7,118.8909,32.0894,119.0
274,7,119.0355,31.6641,20.0
275,7,118.8527,31.928,103.0
276,7,118.9353,32.1299,78.0
277,7,118.9081,31.3418,6.0
278,7,118.6902,31.9501,80.0
279,7,118.7862,32.0232,69.0
280,7,118.7428,32.0827,51.0
281,7,118.787,32.0788,10.0
282,7,118.8051,32.0132,102.0
283,7,118.8171,32.1128,127.0
284,7,118.8276,32.1195,52.0
285,7,118.8093,32.0386,33.0
286,7,118.8227,32.1423,43.0
287,7,118.9219,32.1011,166.0
288,7,118.8248,32.3249,15.0
289,7,118.6376,32.0666,27.0
290,7,118.848,31.9405,65.0
291,7,118.7654,31.9759,71.0
292,7,118.8851,32.0494,36.0
293,7,118.8446,31.9127,21.0
294,7,118.8053,31.9367,127.0
295,7,118.722,32.0128,40.0
296,7,118.9147,32.1201,26.0
297,7,118.858,32.3554,6.0
298,7,118.7509,31.9637,81.0
299,7,118.924,32.1099,46.0
300,7,119.046,31.6615,10.0
301,7,118.7403,32.0365,47.0
302,7,118.7361,31.9771,30.0
303,7,118.8774,32.0422,67.0
304,7,118.7297,31.9943,120.0
305,7,118.7762,32.0745,59.0
306,7,118.8356,31.9797,26.0
307,7,118.8155,31.9498,33.0
308,7,118.754,32.135,75.0
309,7,118.7888,32.0895,25.0
310,7,118.8261,32.3397,19.0
311,7,118.6307,32.0756,46.0
312,7,118.877,32.117,52.0
313,7,118.8667,32.0281,95.0
314,7,118.7923,32.0425,234.0
315,7,118.8504,32.0239,136.0
316,7,118.7974,31.9604,10.0
317,7,118.7329,32.0038,57.0
318,7,118.8374,31.9261,37.0
319,7,118.7707,32.0175,38.0
320,7,118.7993,31.9266,15.0
321,7,118.8618,31.9627,82.0
322,7,118.8102,32.0639,146.0
323,7,118.7275,32.0208,50.0
324,7,118.6128,32.0624,6.0
325,7,118.8198,32.0806,20.0
326,7,118.728,31.9696,160.0
327,7,118.8523,32.3454,40.0
