,hour,longitude,latitude,value
0,0,118.656,32.0695,4
1,0,118.8404,31.962,12
2,0,118.7601,32.0423,21
3,0,118.9336,32.1094,63
4,0,118.7634,32.0889,8
5,0,118.8167,31.9318,17
6,0,118.8705,31.9538,9
7,0,118.725,32.1791,6
8,0,118.9305,32.0632,8
9,0,118.8495,32.3454,4
10,0,118.7346,32.1308,8
11,0,118.8174,32.1247,5
12,0,118.6402,32.0704,23
13,0,118.8763,31.7379,5
14,0,118.8839,32.0847,18
15,0,118.7767,32.0314,10
16,0,118.8481,32.1506,5
17,0,118.8924,32.0541,22
18,0,118.7308,32.1487,6
19,0,118.8577,32.0233,4
20,0,118.8161,32.3293,9
21,0,118.8558,31.9301,12
22,0,118.9424,32.1267,9
23,0,118.7766,32.0769,5
24,0,118.7434,32.1445,6
25,0,118.8685,32.0307,12
26,0,118.7404,32.0075,26
27,0,118.8391,31.9155,10
28,0,118.9402,32.1584,5
29,0,118.7965,32.0337,8
30,0,118.7901,32.0258,16
31,0,118.699,31.9417,17
32,0,118.7946,32.0715,81
33,0,118.925,31.9401,4
34,0,118.9556,32.1553,5
35,0,118.7308,32.1162,8
36,0,118.8377,32.0493,13
37,0,118.7419,32.0198,9
38,0,118.7881,32.0434,193
39,0,118.6883,32.111,5
40,0,118.8389,32.1052,4
41,0,118.6209,32.0674,5
42,0,118.6418,32.0905,4
43,0,118.5781,32.0069,10
44,0,118.7763,31.9826,39
45,0,118.6274,32.0601,5
46,0,118.8211,32.082,6
47,0,118.8058,31.9838,6
48,0,118.7321,32.037,12
49,0,118.9263,32.1009,18
50,0,118.7779,32.0461,30
51,0,118.8672,32.0995,6
52,0,118.7279,32.0287,23
53,0,118.7194,32.0518,8
54,0,118.706,32.1184,8
55,0,118.9118,32.103,14
56,0,118.7965,31.9193,4
57,0,118.9481,32.1388,6
58,0,118.7864,32.0563,102
59,0,118.7321,32.0005,18
60,0,118.7708,32.0148,5
61,0,118.9221,32.118,14
62,0,118.7645,31.9581,4
63,0,118.7235,32.0111,10
64,0,118.9105,32.0904,27
65,0,118.8939,32.135,9
66,0,118.6694,31.9139,4
67,0,118.9102,31.9341,6
68,0,118.805,32.0111,17
69,0,118.8264,31.9585,14
70,0,118.7573,32.1505,9
71,0,118.882,31.7856,4
72,0,118.9143,32.1449,5
73,0,118.7877,31.9536,9
74,0,118.8028,31.9345,9
75,0,118.7519,32.0868,6
76,0,118.8526,32.1131,4
77,0,118.7904,32.0929,6
78,0,118.8029,32.0921,6
79,0,118.6308,32.05,5
80,0,118.9036,32.0792,5
81,0,118.6304,32.082,4
82,0,118.7743,32.0923,13
83,0,118.725,31.9858,8
84,0,118.8647,31.9662,14
85,0,119.0364,31.3188,5
86,0,118.7577,31.9795,16
87,0,118.7804,32.068,26
88,0,118.8551,32.3556,4
89,0,118.7959,31.9797,9
90,0,118.7442,31.996,23
91,0,118.8916,32.1622,44
92,0,118.8506,31.9583,13
93,0,118.7587,32.0524,18
94,0,118.8943,31.9231,14
95,0,118.7448,32.0364,9
96,0,118.8996,32.0935,69
97,0,118.7628,32.021,34
98,0,118.8782,32.1229,5
99,0,118.9127,31.9135,14
100,0,118.7507,32.068,13
101,0,118.7497,32.0983,10
102,0,118.816,32.0671,34
103,0,118.8031,32.0523,30
104,0,118.8085,32.0396,22
105,0,118.6485,32.0612,31
106,0,118.8901,32.0977,13
107,0,118.7806,31.9976,4
108,0,118.8086,31.9173,18
109,0,118.9062,32.1327,9
110,0,118.7526,32.2284,6
111,0,118.7907,32.0827,9
112,0,118.941,32.1167,4
113,0,118.8203,32.0129,4
114,1,118.7227,32.0237,6
115,1,118.8493,32.3471,12
116,1,118.7622,32.0996,5
117,1,118.7501,32.0376,26
118,1,118.7848,32.043,22
119,1,118.7901,32.0799,10
120,1,118.7785,31.9975,5
121,1,118.749,32.2394,8
122,1,118.9096,32.0907,13
123,1,118.8459,32.0424,6
124,1,118.9368,32.1515,5
125,1,118.7844,32.0893,4
126,1,118.7948,32.1199,4
127,1,118.762,32.0259,12
128,1,118.7957,31.9809,10
129,1,118.8988,32.1142,5
130,1,118.8566,32.0395,9
131,1,118.7794,31.981,23
132,1,118.984,32.1337,4
133,1,118.722,31.9719,4
134,1,118.951,32.1401,6
135,1,118.8268,32.1346,10
136,1,118.7687,32.1115,4
137,1,118.8786,31.7401,4
138,1,118.805,32.1074,10
139,1,118.6996,31.9458,8
140,1,118.7346,31.9969,10
141,1,118.8459,32.1485,6
142,1,118.7496,32.0975,5
143,1,118.746,32.0461,9
144,1,118.732,32.0088,6
145,1,118.8531,31.928,25
146,1,118.7412,32.1608,9
147,1,118.7046,31.9747,9
148,1,118.736,32.0194,10
149,1,118.8232,31.947,10
150,1,118.7644,31.9571,4
151,1,118.8236,32.1098,4
152,1,118.898,32.0555,13
153,1,118.8689,32.0304,10
154,1,118.8002,31.9496,9
155,1,118.7572,32.0817,9
156,1,118.7959,32.056,8
157,1,118.8852,32.1264,8
158,1,118.8563,32.3647,10
159,1,118.7417,31.9881,5
160,1,118.7454,32.1354,8
161,1,118.9223,32.1008,13
162,1,118.7788,32.0534,31
163,1,118.7979,31.9141,6
164,1,118.6307,32.0756,10
165,1,118.7775,32.0984,8
166,1,118.8075,32.0174,10
167,1,118.7505,32.1503,6
168,1,118.787,32.0697,37
169,1,118.8037,32.0,6
170,1,118.8677,32.1012,5
171,1,118.7251,32.1667,6
172,1,118.7805,31.7838,10
173,1,118.7719,32.0908,6
174,1,118.7486,32.0636,17
175,1,118.8682,32.1194,8
176,1,118.8661,31.793,4
177,1,118.7967,31.9908,8
178,1,118.8395,31.9156,8
179,1,118.8549,32.1109,6
180,1,118.8106,32.0532,13
181,1,118.7495,32.1704,8
182,1,118.7678,31.967,6
183,1,118.8558,31.9571,8
184,1,118.7459,32.0084,9
185,1,118.7971,32.0299,5
186,1,118.6381,32.0672,4
187,1,118.7945,31.9607,8
188,1,118.8995,32.0936,12
189,1,118.6483,32.0767,6
190,1,118.8008,32.0467,38
191,1,118.7844,32.0295,21
192,1,118.8103,32.0083,8
193,1,119.0076,32.1291,8
194,1,118.7771,32.0763,5
195,1,118.828,32.0453,6
196,1,118.9359,32.1285,6
197,2,118.6743,31.9121,4
198,2,118.882,31.9467,10
199,2,119.0563,32.0528,5
200,2,118.7174,32.164,8
201,2,118.6179,32.0451,5
